time,ticker,blockchain_type,min_value,max_value,average_amount,average_fee,average_gas_price,gas_used,difficulty,transaction_amount
1672761600,ETH,ETH,0.0,151225468465.0,1253176514.6803484,0.00019282333674754213,28.398597264962905,14767450.5,58750003716598360000000,147
1672758000,ETH,ETH,0.0,52790024592.71353,468418290.3764741,0.00019437795963740779,24.912303252499893,17616455.0,58750003716598360000000,168
1672754400,ETH,ETH,0.0,140423634148.47046,1211724329.4383092,0.0001802926944380135,17.235863612150798,11559304.333333334,58750003716598360000000,117
1672750800,ETH,ETH,0.0,22894026887.625797,329265286.871331,0.0004408312575685772,15.140591017039723,20377022.5,58750003716598360000000,102
1672747200,ETH,ETH,0.0,20868666666.666668,344298872.67514354,0.00033820002519961717,17.067863215220044,14256648.0,58750003716598360000000,82
1672743600,ETH,ETH,0.0,73401667730.06367,1008317661.9015851,0.0003264348786802173,15.515400266798183,15405105.0,58750003716598360000000,81
1672740000,ETH,ETH,0.0,66223877240.0,917406646.4251405,0.00020245902178575811,15.933419485309527,13051961.333333334,58750003716598360000000,105
1672736400,ETH,ETH,0.0,11268105505.329308,125114138.68427463,0.00028670228819190215,15.49162554846589,17950473.5,58750003716598360000000,144
1672732800,ETH,ETH,0.0,38068259845.20191,448382290.95607805,0.0002367714435361208,15.044730592679493,18587601.5,58750003716598360000000,108
1672729200,ETH,ETH,0.0,34535202354.4461,447272558.8879428,0.00039746536289856277,18.963104101757196,18296864.166666668,58750003716598360000000,103
1672725600,ETH,ETH,0.0,16206952386.892813,254780071.51185587,0.00018503119355484478,15.848797086222348,10460052.166666666,58750003716598360000000,105
1672722000,ETH,ETH,0.0,9504812881.630499,181873834.53633997,0.0001947574793805813,18.1514340371016,15901342.0,58750003716598360000000,138
1672718400,ETH,ETH,0.0,29033553356.60956,267496072.34146586,0.00025737040244889543,29.143578346611488,16142854.0,58750003716598360000000,124
1672714800,ETH,ETH,0.0,5716223386.666667,130098730.32840447,0.00017442549944743783,19.896865907502207,13538697.166666666,58750003716598360000000,145
1672711200,ETH,ETH,0.0,38796333333.333336,486616718.0244891,0.00016993469408313643,16.26031992121786,12569987.0,58750003716598360000000,117
1672707600,ETH,ETH,0.0,8941542837.436289,186986712.45945898,0.00027207031874729436,17.843467548173845,18562547.166666668,58750003716598360000000,106
1672704000,ETH,ETH,0.0,6632990595.034863,166571588.31186077,0.00024168622710752556,23.556159669481087,15852598.0,58750003716598360000000,156
1672700400,ETH,ETH,0.0,310051074920.97675,3091161163.580726,0.0002214500506474042,21.26244056177698,11863882.333333334,58750003716598360000000,124
1672696800,ETH,ETH,0.0,110745100000.0,1788989930.729782,0.00031942372209324506,24.264573564472695,15682310.166666666,58750003716598360000000,112
1672693200,ETH,ETH,0.0,19863241029.794403,307531331.5969073,0.00019763807077360375,21.821236564984606,16734194.833333334,58750003716598360000000,147
1672689600,ETH,ETH,0.0,31849872215.807934,352290318.9037245,0.00017179677804841906,21.730387983234632,12175509.333333334,58750003716598360000000,135
1672686000,ETH,ETH,0.0,21760268389.597565,291185949.33214694,0.00021325993035796212,23.603824039750886,14209403.833333334,58750003716598360000000,140
1672682400,ETH,ETH,0.0,60165097756.666664,535018891.48047924,0.00019599470673140808,20.7530056709696,15705116.833333334,58750003716598360000000,142
1672678800,ETH,ETH,0.0,42596083291.666664,459606497.5814564,0.00016289810772032447,19.82420387395194,14436054.5,58750003716598360000000,143
1672675200,ETH,ETH,0.0,7302555766.831761,146564335.35260698,0.00018071818093232092,17.93781763936902,14333932.333333334,58750003716598360000000,140
1672671600,ETH,ETH,0.0,21103756808.333332,379306910.3333865,0.0001782187633629856,19.21595069075213,12890594.166666666,58750003716598360000000,146
1672668000,ETH,ETH,0.0,22015797776.67604,289963755.16295266,0.0002654024218523832,16.75428540139082,17978251.833333332,58750003716598360000000,141
1672664400,ETH,ETH,0.0,459806898263.8493,4799905622.016125,0.0001956074782821877,15.451938325415677,12170873.833333334,58750003716598360000000,114
1672660800,ETH,ETH,0.0,30723333333.333332,296662625.0010436,0.0002511779048343032,15.648201916115731,17142073.333333332,58750003716598360000000,110
1672657200,ETH,ETH,0.0,261175621633.33334,2241928498.6708484,0.00025953014733555804,15.534407652241093,20382619.0,58750003716598360000000,117
1672653600,ETH,ETH,0.0,35693710530.09989,541604674.2276275,0.00025043524000550155,15.769914701165426,18770099.0,58750003716598360000000,120
1672650000,ETH,ETH,0.0,17909421998.397453,278551791.7266186,0.00017380701219283227,15.724454082723993,11487391.166666666,58750003716598360000000,121
1672646400,ETH,ETH,0.0,63915610082.84088,844658922.2305188,0.0003379010299251729,15.130091260626271,19183848.5,58750003716598360000000,90
1672642800,ETH,ETH,0.0,6389681997.372012,175850727.37444654,0.0002421829261080618,15.398186799133269,17307747.5,58750003716598360000000,100
1672639200,ETH,ETH,0.0,5358088364.233307,166935750.84833995,0.00035999761905020707,14.98756364002975,17093266.333333332,58750003716598360000000,71
