close_time,trading_pair,open,close,high,low,volume,trades_amount
1674910800,ETHUSDT,1586.19,1582.86,1586.19,1579.1,11737.933,18578049
1674907200,ETHUSDT,1584.2,1586.18,1586.85,1580.31,8710.886,13795117
1674903600,ETHUSDT,1592.19,1584.2,1592.2,1578.63,23674.543,37512164
1674900000,ETHUSDT,1587.18,1592.2,1593.76,1585.45,11241.632,17874553
1674896400,ETHUSDT,1592.68,1587.19,1594.0,1586.36,8666.065,13789447
1674892800,ETHUSDT,1597.15,1592.68,1597.5,1585.81,10994.833,17501235
1674889200,ETHUSDT,1600.17,1597.16,1600.48,1592.45,7775.746,12413953
1674885600,ETHUSDT,1599.5,1600.17,1603.39,1596.48,11103.666,17762400
1674882000,ETHUSDT,1598.96,1599.49,1602.93,1598.47,8494.483,13594505
1674878400,ETHUSDT,1595.81,1598.96,1600.0,1595.51,5474.0376,8745740
1674874800,ETHUSDT,1595.46,1595.81,1598.85,1592.49,10508.459,16768811
1674871200,ETHUSDT,1604.24,1595.47,1604.9,1594.42,11243.628,17978126
1674867600,ETHUSDT,1597.61,1604.24,1606.83,1594.21,16687.92,26720122
1674864000,ETHUSDT,1592.95,1597.62,1599.39,1592.94,8374.145,13373311
1674860400,ETHUSDT,1599.31,1592.94,1599.89,1586.75,12748.607,20309107
1674856800,ETHUSDT,1599.12,1599.3,1605.56,1596.03,11854.764,18980286
1674853200,ETHUSDT,1609.7,1599.12,1621.0,1592.25,46542.035,74862063
1674849600,ETHUSDT,1604.14,1609.7,1611.32,1602.38,11670.586,18756164
1674846000,ETHUSDT,1605.49,1604.13,1608.28,1598.18,16839.922,26991431
1674842400,ETHUSDT,1589.29,1605.49,1611.79,1587.65,32436.752,51864131
1674838800,ETHUSDT,1574.86,1589.28,1590.99,1573.98,20946.648,33187013
1674835200,ETHUSDT,1579.99,1574.86,1594.55,1574.03,35942.48,56934003
1674831600,ETHUSDT,1572.07,1579.99,1590.13,1563.44,24973.074,39343825
1674828000,ETHUSDT,1575.17,1572.08,1584.73,1561.0,38338.285,60327172
1674824400,ETHUSDT,1578.84,1575.16,1580.85,1572.08,10358.117,16336201
