time,keyword,positive,negative,neutral
1677319200,#ETH,20,5,118
1677315600,#ETH,20,2,86
1677312000,#ETH,24,3,103
1677308400,#ETH,18,2,96
1677304800,#ETH,10,0,73
1677301200,#ETH,7,2,56
1677297600,#ETH,18,3,92
1677294000,#ETH,12,1,83
1677290400,#ETH,32,1,87
1677286800,#ETH,20,0,80
1677283200,#ETH,9,3,107
1677279600,#ETH,30,2,143
1677276000,#ETH,28,3,122
1677272400,#ETH,29,1,164
1677268800,#ETH,32,3,143
1677265200,#ETH,22,2,136
1677261600,#ETH,30,5,155
1677258000,#ETH,31,2,167
1677254400,#ETH,35,3,162
1677250800,#ETH,27,5,168
1677247200,#ETH,24,1,175
1677243600,#ETH,28,4,168
1677240000,#ETH,25,0,175
1677236400,#ETH,23,3,174
1677232800,#ETH,18,4,170
1677229200,#ETH,22,2,135
1677225600,#ETH,17,3,122
1677222000,#ETH,18,5,122
1677218400,#ETH,21,1,89
1677214800,#ETH,27,1,84
1677211200,#ETH,16,0,93
1677207600,#ETH,16,2,88
1677204000,#ETH,20,1,111
1677200400,#ETH,26,6,113
1677196800,#ETH,27,4,113
1677193200,#ETH,44,7,130
1677189600,#ETH,45,4,150
1677186000,#ETH,24,2,142
1677182400,#ETH,40,7,144
1677178800,#ETH,32,12,156
1677175200,#ETH,32,11,157
1677171600,#ETH,24,2,169
1677168000,#ETH,39,4,157
1677164400,#ETH,31,4,165
1677160800,#ETH,24,1,175
1677157200,#ETH,38,4,147
1677153600,#ETH,25,1,174
1677150000,#ETH,27,2,164
1677146400,#ETH,20,3,149
1677142800,#ETH,23,4,139
1677139200,#ETH,24,3,117
1677135600,#ETH,17,3,147
1677132000,#ETH,17,1,107
1677128400,#ETH,24,1,83
1677124800,#ETH,16,1,104
1677121200,#ETH,13,1,124
1677117600,#ETH,15,1,78
1677114000,#ETH,19,1,171
1677110400,#ETH,25,3,137
1677106800,#ETH,24,2,123
1677103200,#ETH,32,0,109
1677099600,#ETH,18,2,109
1677096000,#ETH,27,7,121
1677092400,#ETH,26,3,136
1677088800,#ETH,35,5,160
1677085200,#ETH,17,3,180
1677081600,#ETH,30,3,167
1677078000,#ETH,25,2,173
1677074400,#ETH,23,2,175
1677070800,#ETH,30,0,170
1677067200,#ETH,24,4,172
1677063600,#ETH,22,2,150
1677060000,#ETH,13,4,170
1677056400,#ETH,19,6,149
1677052800,#ETH,28,1,122
1677049200,#ETH,20,6,114
1677045600,#ETH,16,3,75
1677042000,#ETH,15,4,99
1677038400,#ETH,17,2,91
1677034800,#ETH,16,3,156
1677031200,#ETH,21,3,118
1677027600,#ETH,16,0,127
1677024000,#ETH,26,4,134
1677020400,#ETH,20,4,117
1677016800,#ETH,26,3,163
1677013200,#ETH,0,0,0
1677009600,#ETH,0,0,0
1677006000,#ETH,0,0,0
1677002400,#ETH,0,0,0
1676998800,#ETH,0,0,0
1676995200,#ETH,0,0,0
1676991600,#ETH,0,0,0
1676988000,#ETH,0,0,0
1676984400,#ETH,0,0,0
1676980800,#ETH,0,0,0
1676977200,#ETH,0,0,0
1676973600,#ETH,0,0,0
1676970000,#ETH,0,0,0
1676966400,#ETH,0,0,0
1676962800,#ETH,0,0,0
1676959200,#ETH,0,0,0
1676955600,#ETH,20,1,108
1676952000,#ETH,24,5,121
1676948400,#ETH,14,1,120
1676944800,#ETH,18,2,104
1676941200,#ETH,19,3,122
1676937600,#ETH,20,4,117
1676934000,#ETH,31,1,123
1676930400,#ETH,26,3,126
1676926800,#ETH,25,6,169
1676923200,#ETH,36,2,162
1676919600,#ETH,25,1,155
1676916000,#ETH,43,5,152
1676912400,#ETH,31,1,168
1676908800,#ETH,28,2,170
1676905200,#ETH,31,4,165
1676901600,#ETH,29,2,169
1676898000,#ETH,30,2,168
1676894400,#ETH,31,6,163
1676890800,#ETH,30,8,162
1676887200,#ETH,21,3,172
1676883600,#ETH,28,1,151
1676880000,#ETH,16,2,125
1676876400,#ETH,16,3,119
1676872800,#ETH,12,2,112
1676869200,#ETH,18,6,115
1676865600,#ETH,28,2,105
1676862000,#ETH,16,1,122
1676858400,#ETH,18,1,110
1676854800,#ETH,25,2,106
1676851200,#ETH,21,0,121
1676847600,#ETH,27,3,122
1676844000,#ETH,33,2,147
1676840400,#ETH,29,3,140
1676836800,#ETH,30,6,164
1676833200,#ETH,30,6,164
1676829600,#ETH,25,3,172
1676826000,#ETH,39,5,156
1676822400,#ETH,26,4,170
1676818800,#ETH,37,4,154
1676815200,#ETH,30,3,146
1676811600,#ETH,32,5,145
1676808000,#ETH,23,0,177
1676804400,#ETH,29,3,126
1676800800,#ETH,28,2,120
1676797200,#ETH,20,1,124
1676793600,#ETH,16,2,100
1676790000,#ETH,19,1,98
1676786400,#ETH,12,1,96
1676782800,#ETH,22,2,87
1676779200,#ETH,16,1,91
1676775600,#ETH,14,2,82
1676772000,#ETH,15,2,95
1676768400,#ETH,27,2,111
1676764800,#ETH,23,3,120
1676761200,#ETH,22,1,126
1676757600,#ETH,25,3,142
1676754000,#ETH,31,2,147
1676750400,#ETH,35,8,157
1676746800,#ETH,23,8,155
1676743200,#ETH,0,0,0
1676739600,#ETH,0,0,0
1676736000,#ETH,0,0,0
1676732400,#ETH,0,0,0
1676728800,#ETH,0,0,0
1676725200,#ETH,0,0,0
1676721600,#ETH,0,0,0
1676718000,#ETH,0,0,0
1676714400,#ETH,0,0,0
1676710800,#ETH,0,0,0
1676707200,#ETH,0,0,0
1676703600,#ETH,0,0,0
1676700000,#ETH,0,0,0
1676696400,#ETH,0,0,0
1676692800,#ETH,0,0,0
1676689200,#ETH,0,0,0
1676685600,#ETH,0,0,0
1676682000,#ETH,0,0,0
1676678400,#ETH,0,0,0
1676674800,#ETH,0,0,0
1676671200,#ETH,0,0,0
1676667600,#ETH,0,0,0
1676664000,#ETH,0,0,0
1676660400,#ETH,0,0,0
1676656800,#ETH,0,0,0
1676653200,#ETH,0,0,0
1676649600,#ETH,0,0,0
1676646000,#ETH,0,0,0
1676642400,#ETH,0,0,0
1676638800,#ETH,0,0,0
1676635200,#ETH,0,0,0
1676631600,#ETH,23,6,131
1676628000,#ETH,24,1,166
1676624400,#ETH,29,0,146
1676620800,#ETH,23,5,124
1676617200,#ETH,18,3,113
1676613600,#ETH,16,3,120
1676610000,#ETH,18,5,145
1676606400,#ETH,23,3,108
1676602800,#ETH,22,5,125
1676599200,#ETH,24,2,109
1676595600,#ETH,31,6,106
1676592000,#ETH,19,4,105
1676588400,#ETH,32,8,160
1676584800,#ETH,33,5,152
1676581200,#ETH,33,1,157
1676577600,#ETH,38,5,145
1676574000,#ETH,35,3,158
1676570400,#ETH,30,4,166
1676566800,#ETH,33,6,161
1676563200,#ETH,34,6,160
1676559600,#ETH,37,2,161
1676556000,#ETH,18,1,181
1676552400,#ETH,27,3,147
1676548800,#ETH,32,5,136
1676545200,#ETH,33,2,140
1676541600,#ETH,22,1,135
1676538000,#ETH,24,2,131
1676534400,#ETH,23,1,118
1676530800,#ETH,21,5,131
1676527200,#ETH,13,1,104
1676523600,#ETH,25,2,76
1676520000,#ETH,26,3,90
1676516400,#ETH,19,2,115
1676512800,#ETH,26,1,123
1676509200,#ETH,27,8,148
1676505600,#ETH,28,3,122
1676502000,#ETH,34,3,140
1676498400,#ETH,37,4,159
1676494800,#ETH,34,3,163
1676491200,#ETH,24,8,168
1676487600,#ETH,33,1,166
1676484000,#ETH,26,4,170
1676480400,#ETH,39,5,156
1676476800,#ETH,28,2,170
1676473200,#ETH,32,6,162
1676469600,#ETH,24,2,174
1676466000,#ETH,31,2,167
1676462400,#ETH,31,2,167
1676458800,#ETH,20,1,162
1676455200,#ETH,19,6,150
1676451600,#ETH,24,1,155
1676448000,#ETH,34,1,120
1676444400,#ETH,24,3,101
1676440800,#ETH,18,0,107
1676437200,#ETH,17,2,97
1676433600,#ETH,16,3,110
1676430000,#ETH,21,4,144
1676426400,#ETH,19,3,83
1676422800,#ETH,20,0,110
1676419200,#ETH,32,4,117
1676415600,#ETH,28,2,128
1676412000,#ETH,44,1,133
1676408400,#ETH,42,2,156
1676404800,#ETH,34,5,161
1676401200,#ETH,40,9,151
1676397600,#ETH,43,3,145
1676394000,#ETH,47,4,149
1676390400,#ETH,26,3,171
1676386800,#ETH,31,6,163
1676383200,#ETH,39,3,158
1676379600,#ETH,37,3,160
1676376000,#ETH,43,3,146
1676372400,#ETH,40,2,158
1676368800,#ETH,36,4,160
1676365200,#ETH,31,2,158
1676361600,#ETH,27,1,120
1676358000,#ETH,25,1,101
1676354400,#ETH,18,1,91
1676350800,#ETH,18,6,94
1676347200,#ETH,24,3,93
1676343600,#ETH,28,1,99
1676340000,#ETH,28,1,91
1676336400,#ETH,20,2,115
1676332800,#ETH,19,2,124
1676329200,#ETH,23,1,115
1676325600,#ETH,33,4,125
1676322000,#ETH,26,5,163
1676318400,#ETH,35,0,155
1676314800,#ETH,35,3,162
1676311200,#ETH,50,5,145
1676307600,#ETH,23,12,165
1676304000,#ETH,40,4,156
1676300400,#ETH,40,8,152
1676296800,#ETH,34,3,163
1676293200,#ETH,29,8,149
1676289600,#ETH,26,7,167
1676286000,#ETH,25,4,171
1676282400,#ETH,18,2,180
1676278800,#ETH,26,4,167
1676275200,#ETH,23,1,107
1676271600,#ETH,20,2,139
1676268000,#ETH,18,3,82
1676264400,#ETH,23,4,87
1676260800,#ETH,13,2,103
1676257200,#ETH,13,2,109
1676253600,#ETH,17,1,73
1676250000,#ETH,20,3,108
1676246400,#ETH,20,2,110
1676242800,#ETH,20,4,153
1676239200,#ETH,28,4,152
1676235600,#ETH,20,2,135
1676232000,#ETH,21,4,140
1676228400,#ETH,36,5,131
1676224800,#ETH,34,4,161
1676221200,#ETH,33,2,165
1676217600,#ETH,43,6,151
1676214000,#ETH,34,3,151
1676210400,#ETH,27,2,140
1676206800,#ETH,23,2,115
1676203200,#ETH,23,0,144
1676199600,#ETH,29,1,157
1676196000,#ETH,20,0,117
1676192400,#ETH,25,1,127
1676188800,#ETH,26,2,114
1676185200,#ETH,14,4,92
1676181600,#ETH,9,2,88
1676178000,#ETH,17,3,90
1676174400,#ETH,22,4,100
1676170800,#ETH,16,1,95
1676167200,#ETH,26,1,86
1676163600,#ETH,25,2,126
1676160000,#ETH,14,2,96
1676156400,#ETH,20,2,124
1676152800,#ETH,28,2,117
1676149200,#ETH,31,2,141
1676145600,#ETH,39,3,121
1676142000,#ETH,35,6,143
1676138400,#ETH,33,5,158
1676134800,#ETH,34,0,166
1676131200,#ETH,31,8,161
1676127600,#ETH,35,4,161
1676124000,#ETH,32,4,164
1676120400,#ETH,33,4,145
1676116800,#ETH,26,3,150
1676113200,#ETH,36,3,142
1676109600,#ETH,36,6,142
1676106000,#ETH,35,6,113
1676102400,#ETH,26,2,101
1676098800,#ETH,16,5,129
1676095200,#ETH,26,1,104
1676091600,#ETH,20,4,77
1676088000,#ETH,19,4,100
1676084400,#ETH,19,5,76
1676080800,#ETH,21,0,120
1676077200,#ETH,36,1,124
1676073600,#ETH,22,3,116
1676070000,#ETH,37,4,133
1676066400,#ETH,34,4,162
1676062800,#ETH,38,3,159
1676059200,#ETH,28,3,161
1676055600,#ETH,35,5,148
1676052000,#ETH,42,5,153
1676048400,#ETH,35,5,160
1676044800,#ETH,46,4,150
1676041200,#ETH,32,8,160
1676037600,#ETH,36,4,160
1676034000,#ETH,39,1,160
1676030400,#ETH,25,3,172
1676026800,#ETH,29,1,165
1676023200,#ETH,39,2,159
1676019600,#ETH,35,4,161
1676016000,#ETH,30,3,159
1676012400,#ETH,25,1,146
1676008800,#ETH,25,3,142
1676005200,#ETH,19,7,174
1676001600,#ETH,23,3,122
1675998000,#ETH,28,5,131
1675994400,#ETH,22,3,139
1675990800,#ETH,26,3,122
1675987200,#ETH,27,1,143
1675983600,#ETH,37,6,157
1675980000,#ETH,43,8,149
1675976400,#ETH,31,8,161
1675972800,#ETH,46,6,148
1675969200,#ETH,33,4,163
1675965600,#ETH,41,6,153
1675962000,#ETH,38,2,160
1675958400,#ETH,31,0,169
1675954800,#ETH,35,3,162
1675951200,#ETH,31,3,166
1675947600,#ETH,28,4,168
1675944000,#ETH,26,5,169
1675940400,#ETH,34,5,161
1675936800,#ETH,39,2,159
1675933200,#ETH,31,1,152
1675929600,#ETH,29,1,162
1675926000,#ETH,20,2,142
1675922400,#ETH,19,4,122
1675918800,#ETH,22,3,104
1675915200,#ETH,41,2,152
1675911600,#ETH,23,1,127
1675908000,#ETH,28,3,111
1675904400,#ETH,27,2,132
1675900800,#ETH,40,7,143
1675897200,#ETH,8,0,79
1675893600,#ETH,37,2,122
1675890000,#ETH,36,0,164
1675886400,#ETH,38,3,159
1675882800,#ETH,44,2,154
1675879200,#ETH,34,3,163
1675875600,#ETH,32,2,166
1675872000,#ETH,29,4,167
1675868400,#ETH,33,5,162
1675864800,#ETH,34,4,162
1675861200,#ETH,28,0,172
1675857600,#ETH,31,4,165
1675854000,#ETH,29,2,169
1675850400,#ETH,36,2,162
1675846800,#ETH,27,1,172
1675843200,#ETH,33,1,164
1675839600,#ETH,21,3,157
1675836000,#ETH,29,2,141
1675832400,#ETH,20,3,132
1675828800,#ETH,28,2,156
1675825200,#ETH,37,0,135
1675821600,#ETH,24,1,158
1675818000,#ETH,21,2,162
1675814400,#ETH,27,4,169
1675810800,#ETH,33,2,163
1675807200,#ETH,40,0,160
1675803600,#ETH,37,2,161
1675800000,#ETH,36,2,162
1675796400,#ETH,31,1,168
1675792800,#ETH,25,5,170
1675789200,#ETH,28,7,165
1675785600,#ETH,28,3,169
1675782000,#ETH,25,1,174
